"",".variable","rhat","eff_samples","truncate","quantile"
"181","b_Intercept",0.418988378275412,1675.95351310165,TRUE,0.05
"182","b_erapresent",0.405394801750155,1621.57920700062,TRUE,0.05
"183","sd_sampleUnit__Intercept",0.237196705169678,948.786820678711,TRUE,0.05
"184","sigma",0.537322950797919,2149.29180319168,TRUE,0.05
"185","nu",0.509572983940097,2038.29193576039,TRUE,0.05
"186","r_sampleUnit[HighRock_zoneA,Intercept]",0.419919041646237,1679.67616658495,TRUE,0.05
"187","r_sampleUnit[HighRock_zoneB,Intercept]",0.418764666933629,1675.05866773452,TRUE,0.05
"188","r_sampleUnit[HighRock_zoneC,Intercept]",0.419782551435494,1679.13020574198,TRUE,0.05
"189","r_sampleUnit[HighRock_zoneD,Intercept]",0.423323964711687,1693.29585884675,TRUE,0.05
"190","r_sampleUnit[zoneA_area1,Intercept]",0.391095207619155,1564.38083047662,TRUE,0.05
"191","r_sampleUnit[zoneA_area2,Intercept]",0.441234178320469,1764.93671328188,TRUE,0.05
"192","r_sampleUnit[zoneA_area3,Intercept]",0.378519868318651,1514.0794732746,TRUE,0.05
"193","r_sampleUnit[zoneB_area1,Intercept]",0.402302951702075,1609.2118068083,TRUE,0.05
"194","r_sampleUnit[zoneB_area2,Intercept]",0.430128724926254,1720.51489970502,TRUE,0.05
"195","r_sampleUnit[zoneC_area1,Intercept]",0.387284332385965,1549.13732954386,TRUE,0.05
"196","r_sampleUnit[zoneC_area2,Intercept]",0.410521490741538,1642.08596296615,TRUE,0.05
"197","r_sampleUnit[zoneD_area1,Intercept]",0.389142931056857,1556.57172422743,TRUE,0.05
"198","lp__",0.195925757686027,783.703030744109,TRUE,0.05
"199","b_Intercept",0.34585052187313,1383.40208749252,TRUE,0.5
"200","b_erapresent",0.358341599390046,1433.36639756018,TRUE,0.5
"201","sd_sampleUnit__Intercept",0.234774801104711,939.099204418844,TRUE,0.5
"202","sigma",0.783293818362644,3133.17527345058,TRUE,0.5
"203","nu",0.685965839244559,2743.86335697824,TRUE,0.5
"204","r_sampleUnit[HighRock_zoneA,Intercept]",0.350617906133908,1402.47162453563,TRUE,0.5
"205","r_sampleUnit[HighRock_zoneB,Intercept]",0.347174521314015,1388.69808525606,TRUE,0.5
"206","r_sampleUnit[HighRock_zoneC,Intercept]",0.344991304923825,1379.9652196953,TRUE,0.5
"207","r_sampleUnit[HighRock_zoneD,Intercept]",0.365048871826971,1460.19548730788,TRUE,0.5
"208","r_sampleUnit[zoneA_area1,Intercept]",0.4350829906757,1740.3319627028,TRUE,0.5
"209","r_sampleUnit[zoneA_area2,Intercept]",0.458765851655514,1835.06340662205,TRUE,0.5
"210","r_sampleUnit[zoneA_area3,Intercept]",0.420738142354855,1682.95256941942,TRUE,0.5
"211","r_sampleUnit[zoneB_area1,Intercept]",0.46326988686375,1853.079547455,TRUE,0.5
"212","r_sampleUnit[zoneB_area2,Intercept]",0.456695867114162,1826.78346845665,TRUE,0.5
"213","r_sampleUnit[zoneC_area1,Intercept]",0.411591915199603,1646.36766079841,TRUE,0.5
"214","r_sampleUnit[zoneC_area2,Intercept]",0.440833428723809,1763.33371489523,TRUE,0.5
"215","r_sampleUnit[zoneD_area1,Intercept]",0.410926303520258,1643.70521408103,TRUE,0.5
"216","lp__",0.168931682752866,675.726731011465,TRUE,0.5
