"",".variable",".value",".lower",".upper",".width",".point",".interval","variable","truncate","quantile"
"57","b_sampleAreaWara.D",-0.0124894188937677,-0.0387027220134774,0.0133136870767489,0.95,"median","qi","Era x Sample Area",TRUE,0.45
"58","b_erapresent",-0.144056294893449,-0.162779319463927,-0.125640757021567,0.8,"median","qi","Era",TRUE,0.45
"59","b_erapresent:sampleAreaWara.D",0.0339009849045558,0.0138025964112167,0.0537317129139734,0.8,"median","qi","Sample Area",TRUE,0.45
"60","b_sampleAreaWara.D",-0.0124894188937677,-0.0294945545951671,0.00445661818131976,0.8,"median","qi","Era x Sample Area",TRUE,0.45
"61","b_erapresent",-0.0878801231341898,-0.13721282344863,-0.0367371293497042,0.95,"median","qi","Era",TRUE,0.05
"62","b_erapresent:sampleAreaWara.D",-0.100661148978209,-0.153214603998117,-0.0484790123226714,0.95,"median","qi","Sample Area",TRUE,0.05
"63","b_sampleAreaWara.D",-0.105143173806884,-0.150644384473581,-0.057185591306265,0.95,"median","qi","Era x Sample Area",TRUE,0.05
"64","b_erapresent",-0.0878801231341898,-0.12045967350594,-0.0552416042995326,0.8,"median","qi","Era",TRUE,0.05
"65","b_erapresent:sampleAreaWara.D",-0.100661148978209,-0.135553741945217,-0.0655402749079741,0.8,"median","qi","Sample Area",TRUE,0.05
"66","b_sampleAreaWara.D",-0.105143173806884,-0.135645049487368,-0.0744698190593271,0.8,"median","qi","Era x Sample Area",TRUE,0.05
"67","b_erapresent",-0.130288665106553,-0.158788087074586,-0.101021477594464,0.95,"median","qi","Era",TRUE,0.5
"68","b_erapresent:sampleAreaWara.D",0.0226720095100895,-0.00951851182006126,0.0537539954001984,0.95,"median","qi","Sample Area",TRUE,0.5
"69","b_sampleAreaWara.D",-0.0151360620321452,-0.0415966112040474,0.0106725542411799,0.95,"median","qi","Era x Sample Area",TRUE,0.5
"70","b_erapresent",-0.130288665106553,-0.149174900020201,-0.11100471287502,0.8,"median","qi","Era",TRUE,0.5
"71","b_erapresent:sampleAreaWara.D",0.0226720095100895,0.00134552144447183,0.0428108708039519,0.8,"median","qi","Sample Area",TRUE,0.5
"72","b_sampleAreaWara.D",-0.0151360620321452,-0.0318971898689855,0.00211578052816291,0.8,"median","qi","Era x Sample Area",TRUE,0.5
