"",".variable",".value",".lower",".upper",".width",".point",".interval","variable","truncate","quantile"
"78","b_erapresent:x3z",-0.0106303476164866,-0.0520204586610359,0.0306468366734596,0.8,"median","qi","Era x Tidal height",TRUE,0.35
"79","b_x2z",-0.0277364339992216,-0.0775871745768221,0.0230701023450203,0.8,"median","qi","Density",TRUE,0.35
"80","b_x3z",-0.00840642358283185,-0.0430146051800377,0.0257201244403202,0.8,"median","qi","Tidal height",TRUE,0.35
"81","b_erapresent",-0.0688685359167527,-0.140449726254526,0.00270213180959221,0.95,"median","qi","Era",TRUE,0.4
"82","b_erapresent:x2z",0.00663952610999887,-0.0745756963347681,0.09245337192851,0.95,"median","qi","Era x Density",TRUE,0.4
"83","b_erapresent:x3z",-0.00314992284132147,-0.063727215839649,0.063364610439984,0.95,"median","qi","Era x Tidal height",TRUE,0.4
"84","b_x2z",-0.0149789577902722,-0.0973516313792285,0.05933527815748,0.95,"median","qi","Density",TRUE,0.4
"85","b_x3z",-0.014359409091334,-0.0675391301810873,0.0357720166659618,0.95,"median","qi","Tidal height",TRUE,0.4
"86","b_erapresent",-0.0688685359167527,-0.112624132093383,-0.0231979916548924,0.8,"median","qi","Era",TRUE,0.4
"87","b_erapresent:x2z",0.00663952610999887,-0.0442027363488914,0.0581031435523399,0.8,"median","qi","Era x Density",TRUE,0.4
"88","b_erapresent:x3z",-0.00314992284132147,-0.0429446398293653,0.0399764802131837,0.8,"median","qi","Era x Tidal height",TRUE,0.4
"89","b_x2z",-0.0149789577902722,-0.0631088387310493,0.0331781410019115,0.8,"median","qi","Density",TRUE,0.4
"90","b_x3z",-0.014359409091334,-0.0487149721067857,0.0180663270530737,0.8,"median","qi","Tidal height",TRUE,0.4
"91","b_erapresent",-0.0422779984721225,-0.112392211348641,0.0251240787498991,0.95,"median","qi","Era",TRUE,0.45
"92","b_erapresent:x2z",0.00144096509228543,-0.0733547206213147,0.0774707754881435,0.95,"median","qi","Era x Density",TRUE,0.45
"93","b_erapresent:x3z",-0.00327292316584647,-0.0718850013725848,0.0643263728217849,0.95,"median","qi","Era x Tidal height",TRUE,0.45
"94","b_x2z",-0.00759912092346437,-0.077917536412258,0.0619660780465081,0.95,"median","qi","Density",TRUE,0.45
"95","b_x3z",-0.014723178458346,-0.066733030271359,0.0392731387830516,0.95,"median","qi","Tidal height",TRUE,0.45
"96","b_erapresent",-0.0422779984721225,-0.0879422430500222,0.00309070191820457,0.8,"median","qi","Era",TRUE,0.45
"97","b_erapresent:x2z",0.00144096509228543,-0.0481355718271905,0.0491584729795684,0.8,"median","qi","Era x Density",TRUE,0.45
"98","b_erapresent:x3z",-0.00327292316584647,-0.0466905895428598,0.0412100298483608,0.8,"median","qi","Era x Tidal height",TRUE,0.45
"99","b_x2z",-0.00759912092346437,-0.053473596058781,0.037215233111357,0.8,"median","qi","Density",TRUE,0.45
"100","b_x3z",-0.014723178458346,-0.048465082840348,0.0195467310386554,0.8,"median","qi","Tidal height",TRUE,0.45
"101","b_erapresent",-0.138189026137756,-0.250529307714266,-0.0254899094919909,0.95,"median","qi","Era",TRUE,0.05
"102","b_erapresent:x2z",0.0734848630268167,-0.0727794722056764,0.222351901536444,0.95,"median","qi","Era x Density",TRUE,0.05
"103","b_erapresent:x3z",0.0040488895174841,-0.0706076259598901,0.0846992961906095,0.95,"median","qi","Era x Tidal height",TRUE,0.05
"104","b_x2z",-0.119167742831748,-0.258422456408279,0.0178200300382734,0.95,"median","qi","Density",TRUE,0.05
